Timestamp,Count,Configuration Version,Status Version,Calibration Action,
1477676358367,21283,1,2,0
1477676358368,21283,1,2,0
1477676358369,21284,1,2,0
1477676358370,21284,1,2,0
1477676358371,21283,1,2,0
1477676358372,21284,1,2,0
1477676358373,21283,1,2,0
1477676358374,21283,1,2,0
1477676358375,21284,1,2,0
1477676358376,21282,1,2,0
1477676358377,21283,1,2,0
1477676358378,21283,1,2,0
1477676358379,21283,1,2,0
1477676358380,21284,1,2,0
1477676358381,21283,1,2,0
1477676358382,21282,1,2,0
1477676358383,21283,1,2,0
1477676358384,21284,1,2,0
1477676358385,21282,1,2,0
1477676358386,21284,1,2,0
1477676358387,21283,1,2,0
1477676358388,21283,1,2,0
1477676358389,21283,1,2,0
1477676358390,21283,1,2,0
1477676358391,21282,1,2,0
1477676358392,21281,1,2,0
1477676358393,21284,1,2,0
1477676358394,21282,1,2,0
1477676358395,21282,1,2,0
1477676358396,21280,1,2,0
1477676358397,21283,1,2,0
1477676358398,21282,1,2,0
1477676358399,21282,1,2,0
1477676358400,21282,1,2,0
1477676358401,21281,1,2,0
1477676358402,21283,1,2,0
1477676358403,21283,1,2,0
1477676358404,21282,1,2,0
1477676358405,21283,1,2,0
1477676358406,21285,1,2,0
1477676358407,21284,1,2,0
1477676358408,21283,1,2,0
1477676358409,21282,1,2,0
1477676358410,21289,1,2,0
1477676358411,21276,1,2,0
1477676358412,21277,1,2,0
1477676358413,21277,1,2,0
1477676358414,21277,1,2,0
1477676358415,21277,1,2,0
1477676358416,21278,1,2,0
1477676358417,21277,1,2,0
1477676358418,21276,1,2,0
1477676358419,21275,1,2,0
1477676358420,21276,1,2,0
1477676358421,21276,1,2,0
1477676358422,21275,1,2,0
1477676358423,21275,1,2,0
1477676358424,21278,1,2,0
1477676358425,21277,1,2,0
1477676358426,21276,1,2,0
1477676358427,21276,1,2,0
1477676358428,21278,1,2,0
1477676358429,21278,1,2,0
1477676358430,21277,1,2,0
1477676358431,21275,1,2,0
1477676358432,21275,1,2,0
1477676358433,21276,1,2,0
1477676358434,21276,1,2,0
1477676358435,21275,1,2,0
1477676358436,21276,1,2,0
1477676358437,21276,1,2,0
1477676358438,21276,1,2,0
1477676358439,21277,1,2,0
1477676358440,21276,1,2,0
1477676358441,21276,1,2,0
1477676358442,21277,1,2,0
1477676358443,21275,1,2,0
1477676358444,21276,1,2,0
1477676358445,21277,1,2,0
1477676358446,21276,1,2,0
1477676358447,21276,1,2,0
1477676358448,21277,1,2,0
1477676358449,21276,1,2,0
1477676358450,21276,1,2,0
1477676358451,21278,1,2,0
1477676358452,21276,1,2,0
1477676358453,21275,1,2,0
1477676358454,21276,1,2,0
1477676358455,21276,1,2,0
1477676358456,21277,1,2,0
1477676358457,21276,1,2,0
1477676358458,21277,1,2,0
1477676358459,21277,1,2,0
1477676358460,21277,1,2,0
1477676358461,21278,1,2,0
1477676358462,21278,1,2,0
1477676358463,21277,1,2,0
1477676358464,21277,1,2,0
1477676358465,21275,1,2,0
1477676358466,21277,1,2,0
1477676358467,21276,1,2,0
1477676358468,21276,1,2,0
1477676358469,21276,1,2,0
1477676358470,21277,1,2,0
1477676358471,21277,1,2,0
1477676358472,21277,1,2,0
1477676358473,21275,1,2,0
1477676358474,21276,1,2,0
1477676358475,21276,1,2,0
1477676358476,21277,1,2,0
1477676358477,21277,1,2,0
1477676358478,21275,1,2,0
1477676358479,21274,1,2,0
1477676358480,21274,1,2,0
1477676358481,21274,1,2,0
1477676358482,21276,1,2,0
1477676358483,21273,1,2,0
1477676358484,21276,1,2,0
1477676358485,21275,1,2,0
1477676358486,21276,1,2,0
1477676358487,21275,1,2,0
1477676358488,21276,1,2,0
1477676358489,21274,1,2,0
1477676358490,21276,1,2,0
1477676358491,21276,1,2,0
1477676358492,21277,1,2,0
1477676358493,21276,1,2,0
1477676358494,21276,1,2,0
1477676358495,21274,1,2,0
1477676358496,21276,1,2,0
1477676358497,21275,1,2,0
1477676358498,21275,1,2,0
1477676358499,21275,1,2,0
1477676358500,21275,1,2,0
1477676358501,21277,1,2,0
1477676358502,21276,1,2,0
1477676358503,21275,1,2,0
1477676358504,21275,1,2,0
1477676358505,21276,1,2,0
1477676358506,21275,1,2,0
1477676358507,21276,1,2,0
1477676358508,21277,1,2,0
1477676358509,21276,1,2,0
1477676358510,21281,1,2,0
1477676358511,21273,1,2,0
1477676358512,21274,1,2,0
1477676358513,21275,1,2,0
1477676358514,21274,1,2,0
1477676358515,21275,1,2,0
1477676358516,21273,1,2,0
1477676358517,21273,1,2,0
1477676358518,21275,1,2,0
1477676358519,21275,1,2,0
1477676358520,21276,1,2,0
1477676358521,21274,1,2,0
1477676358522,21277,1,2,0
1477676358523,21276,1,2,0
1477676358524,21276,1,2,0
1477676358525,21276,1,2,0
1477676358526,21275,1,2,0
1477676358527,21275,1,2,0
1477676358528,21276,1,2,0
1477676358529,21275,1,2,0
1477676358530,21276,1,2,0
1477676358531,21276,1,2,0
1477676358532,21276,1,2,0
1477676358533,21278,1,2,0
1477676358534,21277,1,2,0
1477676358535,21275,1,2,0
1477676358536,21276,1,2,0
1477676358537,21276,1,2,0
1477676358538,21276,1,2,0
1477676358539,21277,1,2,0
1477676358540,21277,1,2,0
1477676358541,21276,1,2,0
1477676358542,21276,1,2,0
1477676358543,21276,1,2,0
1477676358544,21275,1,2,0
1477676358545,21275,1,2,0
1477676358546,21276,1,2,0
1477676358547,21274,1,2,0
1477676358548,21275,1,2,0
1477676358549,21275,1,2,0
1477676358550,21274,1,2,0
1477676358551,21275,1,2,0
1477676358552,21274,1,2,0
1477676358553,21275,1,2,0
1477676358554,21275,1,2,0
1477676358555,21274,1,2,0
1477676358556,21274,1,2,0
1477676358557,21275,1,2,0
1477676358558,21275,1,2,0
1477676358559,21273,1,2,0
1477676358560,21274,1,2,0
1477676358561,21273,1,2,0
1477676358562,21274,1,2,0
1477676358563,21274,1,2,0
1477676358564,21274,1,2,0
1477676358565,21272,1,2,0
1477676358566,21272,1,2,0
1477676358567,21274,1,2,0
1477676358568,21273,1,2,0
1477676358569,21272,1,2,0
1477676358570,21273,1,2,0
1477676358571,21272,1,2,0
1477676358572,21271,1,2,0
1477676358573,21272,1,2,0
1477676358574,21273,1,2,0
1477676358575,21271,1,2,0
1477676358576,21272,1,2,0
1477676358577,21271,1,2,0
1477676358578,21272,1,2,0
1477676358579,21272,1,2,0
1477676358580,21272,1,2,0
1477676358581,21272,1,2,0
1477676358582,21271,1,2,0
1477676358583,21271,1,2,0
1477676358584,21271,1,2,0
1477676358585,21270,1,2,0
1477676358586,21270,1,2,0
1477676358587,21270,1,2,0
1477676358588,21270,1,2,0
1477676358589,21271,1,2,0
1477676358590,21270,1,2,0
1477676358591,21271,1,2,0
1477676358592,21270,1,2,0
1477676358593,21271,1,2,0
1477676358594,21271,1,2,0
1477676358595,21270,1,2,0
1477676358596,21271,1,2,0
1477676358597,21271,1,2,0
1477676358598,21271,1,2,0
1477676358599,21271,1,2,0
1477676358600,21271,1,2,0
1477676358601,21270,1,2,0
1477676358602,21269,1,2,0
1477676358603,21270,1,2,0
1477676358604,21271,1,2,0
1477676358605,21271,1,2,0
1477676358606,21271,1,2,0
1477676358607,21270,1,2,0
1477676358608,21271,1,2,0
1477676358609,21271,1,2,0
1477676358610,21258,1,2,0
1477676358611,21251,1,2,0
1477676358612,21250,1,2,0
1477676358613,21249,1,2,0
1477676358614,21248,1,2,0
1477676358615,21247,1,2,0
1477676358616,21248,1,2,0
1477676358617,21248,1,2,0
1477676358618,21247,1,2,0
1477676358619,21247,1,2,0
1477676358620,21247,1,2,0
1477676358621,21247,1,2,0
1477676358622,21246,1,2,0
1477676358623,21247,1,2,0
1477676358624,21247,1,2,0
1477676358625,21246,1,2,0
1477676358626,21247,1,2,0
1477676358627,21247,1,2,0
1477676358628,21248,1,2,0
1477676358629,21245,1,2,0
1477676358630,21246,1,2,0
1477676358631,21247,1,2,0
1477676358632,21247,1,2,0
1477676358633,21248,1,2,0
1477676358634,21245,1,2,0
1477676358635,21247,1,2,0
1477676358636,21247,1,2,0
1477676358637,21246,1,2,0
1477676358638,21247,1,2,0
1477676358639,21246,1,2,0
1477676358640,21247,1,2,0
1477676358641,21248,1,2,0
1477676358642,21249,1,2,0
1477676358643,21248,1,2,0
1477676358644,21249,1,2,0
1477676358645,21251,1,2,0
1477676358646,21250,1,2,0
1477676358647,21251,1,2,0
1477676358648,21248,1,2,0
1477676358649,21251,1,2,0
1477676358650,21251,1,2,0
1477676358651,21252,1,2,0
1477676358652,21253,1,2,0
1477676358653,21255,1,2,0
1477676358654,21253,1,2,0
1477676358655,21254,1,2,0
1477676358656,21256,1,2,0
1477676358657,21253,1,2,0
1477676358658,21255,1,2,0
1477676358659,21255,1,2,0
1477676358660,21257,1,2,0
1477676358661,21259,1,2,0
1477676358662,21258,1,2,0
1477676358663,21258,1,2,0
1477676358664,21259,1,2,0
1477676358665,21260,1,2,0
1477676358666,21259,1,2,0
1477676358667,21263,1,2,0
1477676358668,21261,1,2,0
1477676358669,21262,1,2,0
1477676358670,21261,1,2,0
1477676358671,21264,1,2,0
1477676358672,21261,1,2,0
1477676358673,21263,1,2,0
1477676358674,21266,1,2,0
1477676358675,21265,1,2,0
1477676358676,21267,1,2,0
1477676358677,21264,1,2,0
1477676358678,21266,1,2,0
1477676358679,21266,1,2,0
1477676358680,21268,1,2,0
1477676358681,21270,1,2,0
1477676358682,21269,1,2,0
1477676358683,21271,1,2,0
1477676358684,21271,1,2,0
1477676358685,21273,1,2,0
1477676358686,21273,1,2,0
1477676358687,21271,1,2,0
1477676358688,21273,1,2,0
1477676358689,21273,1,2,0
1477676358690,21273,1,2,0
1477676358691,21274,1,2,0
1477676358692,21275,1,2,0
1477676358693,21273,1,2,0
1477676358694,21275,1,2,0
1477676358695,21276,1,2,0
1477676358696,21277,1,2,0
1477676358697,21277,1,2,0
1477676358698,21277,1,2,0
1477676358699,21278,1,2,0
1477676358700,21278,1,2,0
1477676358701,21276,1,2,0
1477676358702,21279,1,2,0
1477676358703,21278,1,2,0
1477676358704,21277,1,2,0
1477676358705,21277,1,2,0
1477676358706,21278,1,2,0
